Input Prompt,Target Response
what's6-3?,6-3=3
" hey, what's1-5?",1-5=-4
what's7/5?,7/5=1.4
What is 21x8?,21x8=168
" hey, what's1-3?",1-3=-2
" hey, what's3-20?",3-20=-17
value of 14x15?,14x15=210
" hey, what's1+1?",1+1=2
What is 14/1?,14/1=14.0
" hey, what's2+11?",2+11=13
value of 2/18?,2/18=0.1111111111111111
What is 8/9?,8/9=0.8888888888888888
value of 20+5?,20+5=25
What is 3x17?,3x17=51
What is 12/3?,12/3=4.0
value of 2x13?,2x13=26
value of 15/2?,15/2=7.5
value of 19x13?,19x13=247
What is 16x4?,16x4=64
value of 6x17?,6x17=102
What is 11-1?,11-1=10
What is 20x4?,20x4=80
value of 17-7?,17-7=10
value of 15+12?,15+12=27
" hey, what's15-5?",15-5=10
What is 7-12?,7-12=-5
What is 5-2?,5-2=3
what's8-8?,8-8=0
what's5+5?,5+5=10
what's2x18?,2x18=36
what's2+14?,2+14=16
" hey, what's4-2?",4-2=2
what's7x8?,7x8=56
What is 17/13?,17/13=1.3076923076923077
What is 14-10?,14-10=4
" hey, what's3x10?",3x10=30
what's2-15?,2-15=-13
value of 16/4?,16/4=4.0
" hey, what's18x20?",18x20=360
What is 9-7?,9-7=2
What is 2-18?,2-18=-16
value of 6/9?,6/9=0.6666666666666666
what's11/3?,11/3=3.6666666666666665
what's12-9?,12-9=3
value of 11x2?,11x2=22
" hey, what's6x18?",6x18=108
What is 3x4?,3x4=12
What is 9/13?,9/13=0.6923076923076923
what's21-11?,21-11=10
what's9x16?,9x16=144
" hey, what's18/15?",18/15=1.2
value of 16x9?,16x9=144
what's13/20?,13/20=0.65
value of 2x17?,2x17=34
What is 9x7?,9x7=63
what's1-19?,1-19=-18
" hey, what's9x8?",9x8=72
" hey, what's4-4?",4-4=0
what's19-6?,19-6=13
what's6x4?,6x4=24
" hey, what's5/16?",5/16=0.3125
what's16+3?,16+3=19
what's4x7?,4x7=28
" hey, what's18+10?",18+10=28
what's7-4?,7-4=3
value of 20+9?,20+9=29
value of 7-11?,7-11=-4
" hey, what's2x20?",2x20=40
what's20x10?,20x10=200
what's4x12?,4x12=48
" hey, what's19-11?",19-11=8
what's15x8?,15x8=120
" hey, what's4+11?",4+11=15
" hey, what's20/5?",20/5=4.0
" hey, what's12x20?",12x20=240
what's17/18?,17/18=0.9444444444444444
What is 18x8?,18x8=144
" hey, what's20+15?",20+15=35
what's16/6?,16/6=2.6666666666666665
value of 12/13?,12/13=0.9230769230769231
What is 8+7?,8+7=15
" hey, what's9-20?",9-20=-11
What is 4-9?,4-9=-5
" hey, what's20/3?",20/3=6.666666666666667
What is 10x17?,10x17=170
what's7/6?,7/6=1.1666666666666667
what's11x15?,11x15=165
" hey, what's2-15?",2-15=-13
" hey, what's14/18?",14/18=0.7777777777777778
what's3-15?,3-15=-12
what's9/1?,9/1=9.0
What is 16/8?,16/8=2.0
" hey, what's16/16?",16/16=1.0
what's1+3?,1+3=4
What is 11x13?,11x13=143
what's10-10?,10-10=0
value of 12+4?,12+4=16
value of 9-13?,9-13=-4
what's18x13?,18x13=234
" hey, what's1-4?",1-4=-3
What is 21+9?,21+9=30
what's10-11?,10-11=-1
what's7/15?,7/15=0.4666666666666667
" hey, what's3+9?",3+9=12
value of 17/18?,17/18=0.9444444444444444
" hey, what's4x7?",4x7=28
" hey, what's5/10?",5/10=0.5
What is 11/20?,11/20=0.55
" hey, what's20/15?",20/15=1.3333333333333333
" hey, what's3-9?",3-9=-6
What is 12/14?,12/14=0.8571428571428571
" hey, what's9x19?",9x19=171
What is 8/12?,8/12=0.6666666666666666
What is 13/6?,13/6=2.1666666666666665
" hey, what's5x10?",5x10=50
value of 17-4?,17-4=13
what's12/2?,12/2=6.0
What is 4x14?,4x14=56
value of 4-5?,4-5=-1
" hey, what's6-11?",6-11=-5
what's21+2?,21+2=23
value of 8x13?,8x13=104
" hey, what's14/9?",14/9=1.5555555555555556
what's11x3?,11x3=33
value of 7+8?,7+8=15
" hey, what's5-12?",5-12=-7
value of 2-6?,2-6=-4
value of 1+17?,1+17=18
what's12/1?,12/1=12.0
" hey, what's17+15?",17+15=32
" hey, what's18/18?",18/18=1.0
" hey, what's4+12?",4+12=16
what's1/13?,1/13=0.07692307692307693
What is 3+8?,3+8=11
" hey, what's16x9?",16x9=144
" hey, what's5x3?",5x3=15
value of 4x20?,4x20=80
What is 20/13?,20/13=1.5384615384615385
value of 8+4?,8+4=12
" hey, what's20/10?",20/10=2.0
value of 15/19?,15/19=0.7894736842105263
value of 7x16?,7x16=112
What is 5+20?,5+20=25
What is 17+2?,17+2=19
value of 9-11?,9-11=-2
value of 2/5?,2/5=0.4
what's13+16?,13+16=29
What is 21-3?,21-3=18
" hey, what's9x3?",9x3=27
what's12+3?,12+3=15
What is 5x17?,5x17=85
what's21x4?,21x4=84
What is 2/13?,2/13=0.15384615384615385
" hey, what's13+12?",13+12=25
What is 7-19?,7-19=-12
What is 4+14?,4+14=18
What is 2+18?,2+18=20
What is 8x20?,8x20=160
What is 13+3?,13+3=16
" hey, what's21-5?",21-5=16
What is 8-16?,8-16=-8
value of 21-16?,21-16=5
what's15+7?,15+7=22
" hey, what's8x19?",8x19=152
" hey, what's19/5?",19/5=3.8
" hey, what's5-3?",5-3=2
" hey, what's6/19?",6/19=0.3157894736842105
What is 2x1?,2x1=2
What is 14/7?,14/7=2.0
" hey, what's15x13?",15x13=195
What is 16/15?,16/15=1.0666666666666667
what's15+2?,15+2=17
what's21+8?,21+8=29
value of 6-20?,6-20=-14
What is 1/17?,1/17=0.058823529411764705
" hey, what's16+18?",16+18=34
value of 15+20?,15+20=35
what's6/9?,6/9=0.6666666666666666
" hey, what's21/16?",21/16=1.3125
What is 3x8?,3x8=24
" hey, what's11+18?",11+18=29
value of 6-3?,6-3=3
What is 17x4?,17x4=68
" hey, what's3/17?",3/17=0.17647058823529413
" hey, what's5-6?",5-6=-1
value of 7/15?,7/15=0.4666666666666667
value of 12+6?,12+6=18
what's19x13?,19x13=247
What is 17-10?,17-10=7
value of 20+8?,20+8=28
value of 19/8?,19/8=2.375
what's7x17?,7x17=119
what's11x12?,11x12=132
what's20-12?,20-12=8
What is 16/5?,16/5=3.2
value of 5-16?,5-16=-11
" hey, what's3/11?",3/11=0.2727272727272727
what's12/8?,12/8=1.5
value of 11-9?,11-9=2
" hey, what's21-4?",21-4=17
" hey, what's7+20?",7+20=27
value of 6/7?,6/7=0.8571428571428571
" hey, what's10x16?",10x16=160
what's4+16?,4+16=20
what's16-7?,16-7=9
value of 14/3?,14/3=4.666666666666667
value of 11/1?,11/1=11.0
" hey, what's21/8?",21/8=2.625
value of 3+20?,3+20=23
What is 7+1?,7+1=8
what's2-14?,2-14=-12
what's15/10?,15/10=1.5
what's15x3?,15x3=45
what's10-12?,10-12=-2
what's6+13?,6+13=19
What is 9-2?,9-2=7
value of 2x18?,2x18=36
What is 12+8?,12+8=20
what's20/5?,20/5=4.0
" hey, what's8x20?",8x20=160
value of 12/11?,12/11=1.0909090909090908
what's6-5?,6-5=1
What is 3x16?,3x16=48
" hey, what's21+20?",21+20=41
" hey, what's1-6?",1-6=-5
value of 7+15?,7+15=22
What is 15x11?,15x11=165
value of 19+8?,19+8=27
what's7-18?,7-18=-11
What is 6/4?,6/4=1.5
What is 3+16?,3+16=19
What is 1x4?,1x4=4
What is 14-6?,14-6=8
value of 21x5?,21x5=105
" hey, what's2/13?",2/13=0.15384615384615385
value of 11-10?,11-10=1
What is 20-14?,20-14=6
value of 4-6?,4-6=-2
What is 10+11?,10+11=21
value of 6/2?,6/2=3.0
value of 9x19?,9x19=171
What is 19-16?,19-16=3
What is 9-8?,9-8=1
value of 14-13?,14-13=1
value of 11-4?,11-4=7
what's13+10?,13+10=23
What is 11/18?,11/18=0.6111111111111112
value of 4x8?,4x8=32
value of 11/7?,11/7=1.5714285714285714
what's4-16?,4-16=-12
What is 7x9?,7x9=63
what's19-1?,19-1=18
value of 1-9?,1-9=-8
what's12+9?,12+9=21
value of 16-13?,16-13=3
What is 17-2?,17-2=15
value of 4+4?,4+4=8
value of 9+15?,9+15=24
What is 12x15?,12x15=180
" hey, what's11+11?",11+11=22
What is 8+5?,8+5=13
What is 4+3?,4+3=7
" hey, what's9-2?",9-2=7
" hey, what's19+17?",19+17=36
what's11-8?,11-8=3
What is 13-16?,13-16=-3
What is 11-2?,11-2=9
" hey, what's8x2?",8x2=16
What is 15/14?,15/14=1.0714285714285714
What is 17x7?,17x7=119
value of 8-7?,8-7=1
value of 7x5?,7x5=35
What is 8-19?,8-19=-11
What is 3-17?,3-17=-14
what's10+14?,10+14=24
what's19/13?,19/13=1.4615384615384615
What is 10x15?,10x15=150
value of 18+18?,18+18=36
What is 17-18?,17-18=-1
What is 19x15?,19x15=285
" hey, what's10-9?",10-9=1
" hey, what's11/19?",11/19=0.5789473684210527
What is 14/13?,14/13=1.0769230769230769
What is 18/5?,18/5=3.6
value of 12-7?,12-7=5
what's3x8?,3x8=24
" hey, what's3-1?",3-1=2
What is 17+17?,17+17=34
What is 15/15?,15/15=1.0
value of 16x5?,16x5=80
value of 3x10?,3x10=30
value of 16x11?,16x11=176
what's6x14?,6x14=84
what's20-4?,20-4=16
What is 19+1?,19+1=20
what's2x20?,2x20=40
what's17/10?,17/10=1.7
value of 13+18?,13+18=31
what's9/13?,9/13=0.6923076923076923
what's11/13?,11/13=0.8461538461538461
What is 19/14?,19/14=1.3571428571428572
what's7x1?,7x1=7
What is 1x13?,1x13=13
What is 21-2?,21-2=19
value of 16-11?,16-11=5
value of 14/16?,14/16=0.875
" hey, what's20/9?",20/9=2.2222222222222223
" hey, what's14/19?",14/19=0.7368421052631579
value of 5-20?,5-20=-15
what's5-1?,5-1=4
what's13+8?,13+8=21
" hey, what's14-5?",14-5=9
What is 5/15?,5/15=0.3333333333333333
value of 15/1?,15/1=15.0
value of 5/5?,5/5=1.0
value of 14-15?,14-15=-1
What is 15/5?,15/5=3.0
What is 15x20?,15x20=300
What is 12-2?,12-2=10
value of 1-20?,1-20=-19
value of 19x11?,19x11=209
What is 21x10?,21x10=210
value of 20x20?,20x20=400
value of 20+15?,20+15=35
What is 5+4?,5+4=9
value of 10x9?,10x9=90
what's15x4?,15x4=60
value of 17x6?,17x6=102
value of 13+16?,13+16=29
" hey, what's11/4?",11/4=2.75
What is 11-11?,11-11=0
what's13+13?,13+13=26
" hey, what's4x6?",4x6=24
what's12-6?,12-6=6
value of 8+3?,8+3=11
" hey, what's19/17?",19/17=1.1176470588235294
what's2/5?,2/5=0.4
What is 13+4?,13+4=17
What is 20x12?,20x12=240
What is 18x20?,18x20=360
value of 17+9?,17+9=26
" hey, what's17/1?",17/1=17.0
value of 13-13?,13-13=0
" hey, what's10-15?",10-15=-5
what's20/10?,20/10=2.0
value of 5-1?,5-1=4
value of 12/7?,12/7=1.7142857142857142
what's4+10?,4+10=14
What is 11+13?,11+13=24
" hey, what's9+11?",9+11=20
what's9+12?,9+12=21
" hey, what's13/9?",13/9=1.4444444444444444
" hey, what's15-19?",15-19=-4
" hey, what's21+12?",21+12=33
value of 7/17?,7/17=0.4117647058823529
" hey, what's20+10?",20+10=30
What is 10/12?,10/12=0.8333333333333334
what's6/2?,6/2=3.0
what's5/12?,5/12=0.4166666666666667
what's12x19?,12x19=228
what's10x16?,10x16=160
What is 13x2?,13x2=26
what's2+17?,2+17=19
what's14x7?,14x7=98
What is 15+10?,15+10=25
value of 9-14?,9-14=-5
What is 21-6?,21-6=15
what's11-1?,11-1=10
what's17/20?,17/20=0.85
" hey, what's14+8?",14+8=22
value of 13-3?,13-3=10
What is 4x9?,4x9=36
What is 5+5?,5+5=10
" hey, what's3+2?",3+2=5
value of 4+14?,4+14=18
value of 2x20?,2x20=40
what's18+17?,18+17=35
" hey, what's3-3?",3-3=0
" hey, what's11/5?",11/5=2.2
" hey, what's15/15?",15/15=1.0
" hey, what's10+7?",10+7=17
what's7-9?,7-9=-2
What is 12/5?,12/5=2.4
" hey, what's20-7?",20-7=13
what's8+14?,8+14=22
" hey, what's19x1?",19x1=19
" hey, what's5x11?",5x11=55
" hey, what's14+16?",14+16=30
What is 4/20?,4/20=0.2
what's19+7?,19+7=26
what's21x3?,21x3=63
what's16-6?,16-6=10
" hey, what's2+10?",2+10=12
What is 16x18?,16x18=288
What is 21x20?,21x20=420
value of 19-12?,19-12=7
value of 17x19?,17x19=323
value of 15x1?,15x1=15
" hey, what's8-6?",8-6=2
" hey, what's16+6?",16+6=22
value of 17x3?,17x3=51
" hey, what's20x4?",20x4=80
what's4/20?,4/20=0.2
" hey, what's17+8?",17+8=25
" hey, what's20-15?",20-15=5
" hey, what's6-9?",6-9=-3
what's10/5?,10/5=2.0
value of 20+2?,20+2=22
What is 10+20?,10+20=30
" hey, what's16+19?",16+19=35
what's17/7?,17/7=2.4285714285714284
" hey, what's6/2?",6/2=3.0
" hey, what's12/8?",12/8=1.5
What is 3-13?,3-13=-10
what's13/14?,13/14=0.9285714285714286
" hey, what's17/14?",17/14=1.2142857142857142
" hey, what's3/13?",3/13=0.23076923076923078
what's16/5?,16/5=3.2
What is 20-10?,20-10=10
value of 12-3?,12-3=9
" hey, what's12+16?",12+16=28
value of 13+20?,13+20=33
what's13+6?,13+6=19
value of 8+12?,8+12=20
" hey, what's19/4?",19/4=4.75
value of 16/1?,16/1=16.0
What is 1-9?,1-9=-8
" hey, what's2x10?",2x10=20
what's9-16?,9-16=-7
" hey, what's11-14?",11-14=-3
value of 21-18?,21-18=3
" hey, what's11+2?",11+2=13
value of 16x20?,16x20=320
What is 16/7?,16/7=2.2857142857142856
value of 21/7?,21/7=3.0
what's18-8?,18-8=10
What is 21+14?,21+14=35
What is 17-9?,17-9=8
" hey, what's13+11?",13+11=24
What is 18+10?,18+10=28
What is 7x6?,7x6=42
" hey, what's21x11?",21x11=231
" hey, what's15x2?",15x2=30
value of 2x4?,2x4=8
value of 12-8?,12-8=4
what's7/1?,7/1=7.0
value of 17x9?,17x9=153
what's15x18?,15x18=270
what's13/13?,13/13=1.0
value of 16/10?,16/10=1.6
What is 5/12?,5/12=0.4166666666666667
What is 3/16?,3/16=0.1875
what's7+9?,7+9=16
What is 11-16?,11-16=-5
" hey, what's5+19?",5+19=24
" hey, what's15/8?",15/8=1.875
value of 9+8?,9+8=17
What is 16/18?,16/18=0.8888888888888888
What is 5-6?,5-6=-1
what's3/4?,3/4=0.75
" hey, what's1-8?",1-8=-7
" hey, what's21/10?",21/10=2.1
What is 8+17?,8+17=25
" hey, what's16-9?",16-9=7
value of 2x11?,2x11=22
" hey, what's9/18?",9/18=0.5
What is 19x14?,19x14=266
value of 5x17?,5x17=85
value of 21x6?,21x6=126
what's16/7?,16/7=2.2857142857142856
value of 8-8?,8-8=0
value of 7+4?,7+4=11
" hey, what's3-11?",3-11=-8
What is 16+16?,16+16=32
" hey, what's11+6?",11+6=17
value of 21/18?,21/18=1.1666666666666667
value of 1-11?,1-11=-10
value of 2-2?,2-2=0
What is 20+15?,20+15=35
what's19+1?,19+1=20
value of 12x4?,12x4=48
What is 18+18?,18+18=36
What is 3x5?,3x5=15
value of 1x9?,1x9=9
What is 18x2?,18x2=36
value of 9+14?,9+14=23
" hey, what's4+7?",4+7=11
value of 5x1?,5x1=5
What is 5+2?,5+2=7
value of 11/4?,11/4=2.75
what's20/17?,20/17=1.1764705882352942
value of 13/8?,13/8=1.625
value of 12+18?,12+18=30
value of 19-19?,19-19=0
value of 15+5?,15+5=20
value of 21+18?,21+18=39
" hey, what's6/9?",6/9=0.6666666666666666
What is 9x10?,9x10=90
" hey, what's21/14?",21/14=1.5
value of 4+5?,4+5=9
what's14/7?,14/7=2.0
what's2+15?,2+15=17
" hey, what's10+4?",10+4=14
value of 1/2?,1/2=0.5
what's12+7?,12+7=19
What is 8+10?,8+10=18
What is 8/3?,8/3=2.6666666666666665
what's14/3?,14/3=4.666666666666667
value of 13+15?,13+15=28
" hey, what's1-18?",1-18=-17
" hey, what's20-16?",20-16=4
" hey, what's1-15?",1-15=-14
What is 21-19?,21-19=2
" hey, what's11/10?",11/10=1.1
value of 6x6?,6x6=36
what's4x8?,4x8=32
" hey, what's21x17?",21x17=357
" hey, what's5-9?",5-9=-4
what's14+15?,14+15=29
" hey, what's1x16?",1x16=16
what's13x2?,13x2=26
what's8-12?,8-12=-4
What is 17x20?,17x20=340
What is 6x11?,6x11=66
" hey, what's3/2?",3/2=1.5
what's12/5?,12/5=2.4
what's18/7?,18/7=2.5714285714285716
value of 1x11?,1x11=11
value of 20x14?,20x14=280
" hey, what's15x5?",15x5=75
What is 16+15?,16+15=31
" hey, what's12x4?",12x4=48
" hey, what's7x16?",7x16=112
What is 3-9?,3-9=-6
value of 5/10?,5/10=0.5
value of 3x19?,3x19=57
what's6/11?,6/11=0.5454545454545454
" hey, what's18/20?",18/20=0.9
" hey, what's9x5?",9x5=45
" hey, what's12+17?",12+17=29
What is 9+5?,9+5=14
what's19+17?,19+17=36
" hey, what's8x6?",8x6=48
What is 17+14?,17+14=31
What is 17/18?,17/18=0.9444444444444444
value of 7+9?,7+9=16
what's4/4?,4/4=1.0
value of 9/10?,9/10=0.9
What is 6+4?,6+4=10
What is 2/7?,2/7=0.2857142857142857
what's18x16?,18x16=288
value of 1x3?,1x3=3
" hey, what's17x7?",17x7=119
What is 5+11?,5+11=16
" hey, what's4+18?",4+18=22
What is 16-19?,16-19=-3
" hey, what's14-15?",14-15=-1
What is 2+17?,2+17=19
" hey, what's17/16?",17/16=1.0625
value of 8x5?,8x5=40
what's11+9?,11+9=20
" hey, what's15+19?",15+19=34
" hey, what's21-3?",21-3=18
what's3-9?,3-9=-6
" hey, what's5x13?",5x13=65
what's14x19?,14x19=266
What is 9x17?,9x17=153
What is 8x12?,8x12=96
what's17x4?,17x4=68
what's7x3?,7x3=21
" hey, what's18+19?",18+19=37
What is 2+9?,2+9=11
" hey, what's7x7?",7x7=49
" hey, what's5+14?",5+14=19
value of 12-20?,12-20=-8
value of 15-6?,15-6=9
value of 16+19?,16+19=35
value of 3-11?,3-11=-8
What is 11x8?,11x8=88
" hey, what's3/12?",3/12=0.25
What is 2x19?,2x19=38
What is 19x18?,19x18=342
What is 4/4?,4/4=1.0
value of 8+17?,8+17=25
" hey, what's9/14?",9/14=0.6428571428571429
" hey, what's13x3?",13x3=39
what's19x3?,19x3=57
What is 10-13?,10-13=-3
value of 11-17?,11-17=-6
" hey, what's5x8?",5x8=40
what's9x1?,9x1=9
What is 1-10?,1-10=-9
What is 15+11?,15+11=26
what's9/20?,9/20=0.45
what's2+13?,2+13=15
" hey, what's15+13?",15+13=28
value of 16+11?,16+11=27
" hey, what's15-20?",15-20=-5
" hey, what's5x2?",5x2=10
What is 13x4?,13x4=52
" hey, what's3x18?",3x18=54
value of 9+13?,9+13=22
what's2x2?,2x2=4
value of 13x7?,13x7=91
" hey, what's16x11?",16x11=176
What is 14+15?,14+15=29
" hey, what's14x3?",14x3=42
" hey, what's16/18?",16/18=0.8888888888888888
what's18+12?,18+12=30
what's18/15?,18/15=1.2
what's1-18?,1-18=-17
what's21-10?,21-10=11
What is 5/6?,5/6=0.8333333333333334
what's17x15?,17x15=255
value of 8/16?,8/16=0.5
what's11x20?,11x20=220
value of 20x4?,20x4=80
what's19-3?,19-3=16
value of 2+3?,2+3=5
What is 15-15?,15-15=0
what's6-7?,6-7=-1
value of 1x1?,1x1=1
" hey, what's20x3?",20x3=60
What is 2-4?,2-4=-2
what's12+2?,12+2=14
what's13x6?,13x6=78
" hey, what's3x20?",3x20=60
" hey, what's7x1?",7x1=7
what's16x2?,16x2=32
What is 11x16?,11x16=176
what's18-3?,18-3=15
" hey, what's20+5?",20+5=25
what's14-13?,14-13=1
value of 19+3?,19+3=22
value of 7/19?,7/19=0.3684210526315789
value of 20+11?,20+11=31
What is 9/6?,9/6=1.5
" hey, what's8x14?",8x14=112
What is 17-11?,17-11=6
" hey, what's17+5?",17+5=22
what's4x15?,4x15=60
what's17-20?,17-20=-3
what's1x1?,1x1=1
" hey, what's11-15?",11-15=-4
" hey, what's12-11?",12-11=1
What is 6/5?,6/5=1.2
what's17x20?,17x20=340
What is 15x17?,15x17=255
value of 21+4?,21+4=25
What is 14x6?,14x6=84
" hey, what's10/12?",10/12=0.8333333333333334
" hey, what's19x9?",19x9=171
" hey, what's9x2?",9x2=18
What is 1x6?,1x6=6
value of 11-16?,11-16=-5
" hey, what's14+10?",14+10=24
what's8-14?,8-14=-6
" hey, what's2-13?",2-13=-11
What is 21+17?,21+17=38
" hey, what's9/3?",9/3=3.0
What is 20+6?,20+6=26
value of 18-8?,18-8=10
what's13/2?,13/2=6.5
" hey, what's3x3?",3x3=9
what's12/20?,12/20=0.6
" hey, what's16-11?",16-11=5
value of 20-15?,20-15=5
" hey, what's18-13?",18-13=5
What is 7x11?,7x11=77
" hey, what's2+16?",2+16=18
What is 2/18?,2/18=0.1111111111111111
What is 1x15?,1x15=15
what's16+19?,16+19=35
what's18+7?,18+7=25
what's10-15?,10-15=-5
what's13+15?,13+15=28
value of 5+5?,5+5=10
" hey, what's10/11?",10/11=0.9090909090909091
what's12+6?,12+6=18
what's11+20?,11+20=31
what's20x13?,20x13=260
" hey, what's4/3?",4/3=1.3333333333333333
what's9/18?,9/18=0.5
value of 13+10?,13+10=23
What is 17x15?,17x15=255
what's12x8?,12x8=96
What is 2+13?,2+13=15
" hey, what's6+9?",6+9=15
What is 13+15?,13+15=28
value of 16-8?,16-8=8
what's6/19?,6/19=0.3157894736842105
What is 21/8?,21/8=2.625
value of 9x11?,9x11=99
value of 21x16?,21x16=336
value of 21x7?,21x7=147
what's9/9?,9/9=1.0
value of 10/5?,10/5=2.0
" hey, what's13+18?",13+18=31
" hey, what's1x4?",1x4=4
value of 21+8?,21+8=29
value of 7-7?,7-7=0
" hey, what's7+14?",7+14=21
what's17x14?,17x14=238
" hey, what's19x4?",19x4=76
What is 16+5?,16+5=21
What is 8+13?,8+13=21
What is 7x18?,7x18=126
" hey, what's17x10?",17x10=170
value of 5+11?,5+11=16
What is 20+3?,20+3=23
" hey, what's6+13?",6+13=19
value of 10x8?,10x8=80
what's12-10?,12-10=2
" hey, what's15x10?",15x10=150
" hey, what's1-12?",1-12=-11
What is 20+12?,20+12=32
value of 18+13?,18+13=31
what's9x13?,9x13=117
what's12-20?,12-20=-8
what's8-9?,8-9=-1
what's18-1?,18-1=17
value of 6-18?,6-18=-12
value of 6x12?,6x12=72
" hey, what's2x19?",2x19=38
value of 2+9?,2+9=11
What is 10x12?,10x12=120
" hey, what's16/11?",16/11=1.4545454545454546
what's14+19?,14+19=33
what's8+3?,8+3=11
value of 18x20?,18x20=360
what's1/20?,1/20=0.05
" hey, what's15/12?",15/12=1.25
" hey, what's3x15?",3x15=45
What is 3+6?,3+6=9
What is 9+2?,9+2=11
what's14/4?,14/4=3.5
" hey, what's14x1?",14x1=14
value of 14/4?,14/4=3.5
value of 2+12?,2+12=14
value of 12x6?,12x6=72
value of 16+2?,16+2=18
value of 17x5?,17x5=85
What is 4x15?,4x15=60
" hey, what's9-19?",9-19=-10
What is 3+2?,3+2=5
What is 21+12?,21+12=33
" hey, what's17-5?",17-5=12
what's6x10?,6x10=60
what's19x19?,19x19=361
what's9-6?,9-6=3
value of 10-10?,10-10=0
" hey, what's14x9?",14x9=126
what's2x5?,2x5=10
" hey, what's3x11?",3x11=33
" hey, what's10+2?",10+2=12
value of 3-17?,3-17=-14
" hey, what's21-12?",21-12=9
" hey, what's7x11?",7x11=77
what's12x15?,12x15=180
" hey, what's4x9?",4x9=36
What is 8-2?,8-2=6
What is 18+9?,18+9=27
What is 17-1?,17-1=16
" hey, what's10x17?",10x17=170
value of 16x2?,16x2=32
" hey, what's20-11?",20-11=9
value of 17/1?,17/1=17.0
What is 14+4?,14+4=18
What is 3/15?,3/15=0.2
value of 17/6?,17/6=2.8333333333333335
what's10+16?,10+16=26
what's2x11?,2x11=22
value of 15+6?,15+6=21
value of 13x6?,13x6=78
" hey, what's8x15?",8x15=120
value of 21-12?,21-12=9
value of 15+15?,15+15=30
What is 8+11?,8+11=19
what's18/6?,18/6=3.0
What is 11/15?,11/15=0.7333333333333333
What is 18/17?,18/17=1.0588235294117647
" hey, what's4-5?",4-5=-1
value of 17/12?,17/12=1.4166666666666667
value of 4x14?,4x14=56
what's7-3?,7-3=4
What is 9-12?,9-12=-3
value of 15x12?,15x12=180
" hey, what's2+6?",2+6=8
" hey, what's9+15?",9+15=24
value of 5/17?,5/17=0.29411764705882354
" hey, what's17-8?",17-8=9
what's7-11?,7-11=-4
What is 16/14?,16/14=1.1428571428571428
what's10/13?,10/13=0.7692307692307693
what's16-15?,16-15=1
What is 9/11?,9/11=0.8181818181818182
What is 3x2?,3x2=6
" hey, what's1/18?",1/18=0.05555555555555555
What is 1-5?,1-5=-4
value of 8/14?,8/14=0.5714285714285714
What is 13-17?,13-17=-4
" hey, what's5-18?",5-18=-13
what's16/15?,16/15=1.0666666666666667
What is 12+5?,12+5=17
what's21x12?,21x12=252
" hey, what's5/12?",5/12=0.4166666666666667
what's17/19?,17/19=0.8947368421052632
what's9+10?,9+10=19
value of 11-13?,11-13=-2
What is 5x9?,5x9=45
" hey, what's3+18?",3+18=21
" hey, what's16/1?",16/1=16.0
What is 6/8?,6/8=0.75
what's8/8?,8/8=1.0
" hey, what's13x7?",13x7=91
" hey, what's5-17?",5-17=-12
value of 14+7?,14+7=21
value of 3-1?,3-1=2
" hey, what's7-8?",7-8=-1
what's17x8?,17x8=136
what's17+12?,17+12=29
what's9-19?,9-19=-10
value of 6-19?,6-19=-13
what's20+5?,20+5=25
What is 18-13?,18-13=5
" hey, what's21/12?",21/12=1.75
value of 20/6?,20/6=3.3333333333333335
" hey, what's17x20?",17x20=340
What is 17x19?,17x19=323
what's9/4?,9/4=2.25
What is 14x12?,14x12=168
what's3x7?,3x7=21
What is 3+1?,3+1=4
what's6x11?,6x11=66
what's20/16?,20/16=1.25
" hey, what's18x15?",18x15=270
what's7+3?,7+3=10
" hey, what's14+4?",14+4=18
What is 8-15?,8-15=-7
What is 3-20?,3-20=-17
value of 6/10?,6/10=0.6
what's7x18?,7x18=126
" hey, what's11/6?",11/6=1.8333333333333333
what's1-8?,1-8=-7
" hey, what's7+15?",7+15=22
what's7-14?,7-14=-7
" hey, what's19x12?",19x12=228
What is 1/2?,1/2=0.5
what's13-1?,13-1=12
value of 5x19?,5x19=95
what's5+4?,5+4=9
What is 7-1?,7-1=6
What is 19x16?,19x16=304
what's4x5?,4x5=20
value of 21+3?,21+3=24
" hey, what's17-11?",17-11=6
what's6/4?,6/4=1.5
value of 1+14?,1+14=15
What is 4-12?,4-12=-8
what's8x15?,8x15=120
What is 5-11?,5-11=-6
" hey, what's12/2?",12/2=6.0
What is 10x5?,10x5=50
value of 18+7?,18+7=25
What is 1x1?,1x1=1
what's8-13?,8-13=-5
value of 9/5?,9/5=1.8
what's16x10?,16x10=160
value of 7+11?,7+11=18
" hey, what's4x13?",4x13=52
value of 13-17?,13-17=-4
What is 11x2?,11x2=22
What is 13+2?,13+2=15
value of 5-5?,5-5=0
What is 18+7?,18+7=25
what's12-8?,12-8=4
what's12x7?,12x7=84
what's16x19?,16x19=304
" hey, what's19/20?",19/20=0.95
value of 16/12?,16/12=1.3333333333333333
value of 3+5?,3+5=8
value of 6-6?,6-6=0
" hey, what's7+11?",7+11=18
value of 12x5?,12x5=60
value of 4+2?,4+2=6
" hey, what's7x5?",7x5=35
what's16x18?,16x18=288
what's9+19?,9+19=28
" hey, what's8+15?",8+15=23
what's20+18?,20+18=38
value of 18x17?,18x17=306
" hey, what's5/11?",5/11=0.45454545454545453
what's6-9?,6-9=-3
